proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet0/0
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet0/1
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet0/2
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet0/3
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet1/0
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet1/1
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet1/2
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet1/3
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet2/0
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet2/1
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet2/2
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet2/3
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet3/0
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet3/1
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet3/2
proto,status,ipaddr,intf
up,up,unassigned,GigabitEthernet3/3
proto,status,ipaddr,intf
up,up,192.168.122.5,Vlan1
